Periodo;c1;c2;c3;c4;c5;c6;c7
2023 | Abril - Junio;2023;Abr - Jun;Consejeros Constitucionales;Honorarios campaña;Pesos;5.534.600;Por aprobar
2023 | Abril - Junio;2023;Abr - Jun;Consejeros Constitucionales;Publicidad electoral;Pesos;137.631.569;Por aprobar
2023 | Abril - Junio;2023;Abr - Jun;Consejeros Constitucionales;Gastos menores;Pesos;576.410;Por aprobar
2023 | Abril - Junio;2023;Abr - Jun;Consejeros Constitucionales;Preparación candidatos;Pesos;2.100.000;Por aprobar
2023 | Abril - Junio;2023;Abr - Jun;Consejeros Constitucionales;Otros gastos campaña;Pesos;3.492.149;Por aprobar
2023 | Abril - Junio;2023;Abr - Jun;Consejeros Constitucionales;Material gráfico;Pesos;4.470.235;Por aprobar
2023 | Julio - Septiembre;2023;Jul - Sep;no aplica;no aplica;Pesos;0;Por aprobar
2023 | Octubre - Diciembre;2023;Oct - Dic;Plebiscito;Honorarios Campaña;Pesos;6.000.000;Por aprobar
2023 | Octubre - Diciembre;2023;Oct - Dic;Plebiscito;Publicidad Electoral;Pesos;300.791.917;Por aprobar
2023 | Octubre - Diciembre;2023;Oct - Dic;Plebiscito;Gastos Menores Campaña;Pesos;1.567.547;Por aprobar
2023 | Octubre - Diciembre;2023;Oct - Dic;Plebiscito;Material Grafico Campaña;Pesos;22.852.498;Por aprobar
2023 | Octubre - Diciembre;2023;Oct - Dic;Plebiscito;Otros gastos Electorales;Pesos;3.590.842;Por aprobar
2023 | Octubre - Diciembre;2023;Oct - Dic;Plebiscito;Publicidad Electoral BCI;Pesos;1.233.324;Por aprobar
2023 | Octubre - Diciembre;2023;Oct - Dic;Plebiscito;Otros gastos Electorales BCI;Pesos;1.712.535;Por aprobar
2023 | Octubre - Diciembre;2023;Oct - Dic;Plebiscito;Gastos Menores Campaña BCI;Pesos;150.000;Por aprobar
2024 | Gastos efectuados en campaña O;2016;Oct - Dic;Alcaldes;na;Pesos;94.277.798;Aprobado
2024 | Gastos efectuados en campaña O;2016;Oct - Dic;Concejales;na;Pesos;124.115.841;Aprobado
2024 | Enero - Marzo;2024;Ene - Mar;Plebiscito;Honorarios Campaña;Pesos;5.000.000;Por aprobar
2024 | Enero - Marzo;2024;Ene - Mar;Plebiscito;Publicidad Electoral;Pesos;692.740;Por aprobar
2024 | Enero - Marzo;2024;Ene - Mar;Plebiscito;Gastos Menores Campaña;Pesos;0;Por aprobar
2024 | Enero - Marzo;2024;Ene - Mar;Plebiscito;Material Grafico Campaña;Pesos;892.500;Por aprobar
2024 | Enero - Marzo;2024;Ene - Mar;Plebiscito;Otros gastos Electorales;Pesos;1.166.346;Por aprobar
2024 | Abril - Junio;2024;Abr - Jun;/a;/a;/a;/a;/a
2024 | Julio - Septiembre;2024;Jul - Sep;Alcalde;Publicidad Electoral;Pesos;273.679.301;Por aprobar
2024 | Julio - Septiembre;2024;Jul - Sep;Concejal;Publicidad Electoral;Pesos;409.046.414;Por aprobar
2024 | Julio - Septiembre;2024;Jul - Sep;Consejeros Regionales;Publicidad Electoral;Pesos;194.245.747;Por aprobar
2024 | Julio - Septiembre;2024;Jul - Sep;Gobernadores Regionales;Publicidad Electoral;Pesos;76.675.000;Por aprobar
2024 | Octubre - Noviembre;2024;Oct - Dic;Alcalde;Publicidad Electoral;Pesos;4.239.431;Por aprobar
2024 | Octubre - Noviembre;2024;Oct - Dic;Concejal;Publicidad Electoral;Pesos;12.145.751;Por aprobar
2024 | Octubre - Noviembre;2024;Oct - Dic;Consejeros Regionales;Publicidad Electoral;Pesos;132.740.616;Por aprobar
2024 | Octubre - Noviembre;2024;Oct - Dic;Gobernadores Regionales;Publicidad Electoral;Pesos;12.232.895;Por aprobar
2025 | Gastos efectuados en campaña O;2016;Oct - Dic;Alcaldes;na;Pesos;94.277.798;Aprobado
2025 | Gastos efectuados en campaña O;2016;Oct - Dic;Concejales;na;Pesos;124.115.841;Aprobado
2025 | Enero - Marzo;2025;Ene -Mar;/a;/a;/a;/a;/a
2025 | Abril - Junio;2025;Abr - Jun;Presidenciales;Publicidad Electoral;Pesos;22.500.000;Por aprobar
2025 | Abril - Junio;2025;Abr - Jun;Presidenciales;Material Grafico Campaña;Pesos;3.952.000;Por aprobar
2025 | Julio - Septiembre;2025;Jul - Sep;Parlamentaria;Publicidad Electoral;Pesos;75.500.000;Por aprobar
2025 | Octubre - Diciembre;2025;Oct - Dic;Presidencial;Publicidad Electoral;Pesos;90.166.875;Por aprobar
2025 | Octubre - Diciembre;2025;Oct - Dic;Presidencial;Aporte Candidata;Pesos;310.290.000;Por aprobar
2025 | Octubre - Diciembre;2025;Oct - Dic;Presidencial;Otros;Pesos;102.125;Por aprobar
2025 | Octubre - Diciembre;2025;Oct - Dic;Senadores;Publicidad Electoral;Pesos;45.190.000;Por aprobar
2025 | Octubre - Diciembre;2025;Oct - Dic;Senadores;Aporte Candidata;Pesos;48.500.000;Por aprobar
